PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,BOLT-NUT,INSTALL,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT
F9340VU,FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,"A,D","0,1,2",,"2,3,6,7",,,,,,,UN
F9340VV,FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,"A,D","3,4,5",,"2,3,6,7",,,,,,,UN
F9340TP,COVER FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,B,"0,1,2",,"8,9",,,,,,,"N1,N2,N3,UN"
F9340TN,FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,B,"0,1,2",,"2,3,6,7",,,,,,,UN
F9340TQ,FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,B,"3,4,5",,"2,3,6,7",,,,,,,UN
F9350EV,FLANGE,1,,"EJA110E,EJA110J",,"H,L,M,V",L,"0,1,2",,"8,9",,,,,,,"GS,N1,N2,N3,UN"
F9350EW,Flange - wetted part 'L',1,,"EJA110E,EJA110J",,"H,L,M,V",L,"3,4,5",,"8,9",,,,,,,"GS,N1,N2,N3,UN"
F9350ES,FLANGE,1,,"EJA110E,EJA110J",,"H,L,M,V",L,"0,1,2",,"2,3,6,7",,,,,,,UN
F9350ET,FLANGE,1,,"EJA110E,EJA110J",,"H,L,M,V",L,"3,4,5",,"2,3,6,7",,,,,,,UN
F9350EV,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,L,"0,1,2",,"8,9",,,,,,,"GS,N1,N2,N3,UN"
F9350EW,Flange - wetted part 'L',1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,L,"3,4,5",,"8,9",,,,,,,"GS,N1,N2,N3,UN"
F9350ES,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,L,"0,1,2",,"2,3,6,7",,,,,,,UN
F9350ET,FLANGE,1,,"EJA430E,EJA430J,EJA310E,EJA310J",,,L,"3,4,5",,"2,3,6,7",,,,,,,UN
F9340TA,FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,W,"0,1,2",,"8,9",,,,,,,"N1,N2,N3,UN"
F9340TB,FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,W,"3,4,5",,"8,9",,,,,,,"N1,N2,N3,UN"
F9340TC,FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,W,"0,1,2",,"2,3,6,7",,,,,,,UN
F9340TD,FLANGE,1,,"EJA110E,EJA110J,EJA430E,EJA430J",,,W,"3,4,5",,"2,3,6,7",,,,,,,UN
F9340VA,FLANGE,1,,"EJA110E,EJA110J",,"H,M",S,"0,1,2",,"8,9",,,,,,"HD,HD2","GS,N1,N2,N3,UN"
F9340VB,FLANGE,1,,"EJA110E,EJA110J",,"H,M",S,"3,4,5",,"8,9",,,,,,"HD,HD2","GS,N1,N2,N3,UN"
F9340VC,FLANGE,1,,"EJA110E,EJA110J",,"H,M",S,"0,1,2",,"2,3,6,7",,,,,,"HD,HD2",UN
F9340VD,FLANGE,1,,"EJA110E,EJA110J",,"H,M",S,"3,4,5",,"2,3,6,7",,,,,,"HD,HD2",UN
F9900TU,FLANGE,1,,"EJA110E,EJA110J",,"H,M",S,"0,1,2",,B,,,,,,"HD,HD2",UN
F9900TV,FLANGE,1,,"EJA110E,EJA110J",,"H,M",S,"3,4,5",,B,,,,,,"HD,HD2",UN
F9900UL,FLANGE,1,,"EJA110E,EJA110J",,"H,M",S,"0,1,2",,U,,,,,,"HD,HD2","N1,N2,N3,U1,UN"
F9900UM,FLANGE,1,,"EJA110E,EJA110J",,"H,M",S,"3,4,5",,U,,,,,,"HD,HD2","N1,N2,N3,U1,UN"
