PART NO.,PART NAME,QTY,SC,MODEL CODE,OUTPUT,SPAN,MATERIAL,P-CONNECT,HOUSING,E-CONNECT,INDICATOR,BRACKET,OPTION:AND,OPTION:OR,OPTION:NOT
F9913QH,"Case 1, EC-1/2 NPT with Cert",1,2,,,,,,1,"2,7,C",,,,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,KF22,KS21,KS26,KU22,PF22,PF23,PS21,SF2,SF22,UF1,US1",X2
F9913QH,"Case 1, EC-1/2 NPT with Cert",1,2,,,,,,1,"2,7,C",,,,"GF11,GF12,GF21,GS11,GS12,GS16,GS21,GU11,GU12,GU21,NF2,NF21,NS21,NS25,SS26,SU21,SU22",X2
F9913RN,CASE,1,2,,,,,,1,0,,,X2,,
F9913RQ,CASE,1,2,,,,,,1,"5,A",,,X2,,
F9913RU,"Case 1, EC-1/2 NPT,  w/o cert & /X2",1,2,,,,,,1,"2,7,C",,,X2,,
F9913RU,"Case 1, EC-1/2 NPT,  w/o cert & /X2",-1,2,,,,,,1,"2,7,C",,,X2,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,GF11,GF12,GF21,GS11,GS12,GS16,GS21,GU11,GU12,GU21",
F9913RU,"Case 1, EC-1/2 NPT,  w/o cert & /X2",-1,2,,,,,,1,"2,7,C",,,X2,"KF22,KS21,KS26,KU22,NF2,NF21,NS21,NS25,PF22,PF23,PS21,SF2,SF22,SS26,SU21,SU22,UF1,US1",
F9913RW,"Case 1, EC-M20 with /X2",1,2,,,,,,1,"4,9,D",,,X2,,
F9913RV,"Case 1, EC-1/2 NPT with Cert & /X2",1,2,,,,,,1,"2,7,C",,,X2,"CF1,CS1,CS15,CU1,FF1,FS1,FS15,FU1,KF22,KS21,KS26,KU22,PF22,PF23,PS21,SF2,SF22,UF1,US1",
F9913RV,"Case 1, EC-1/2 NPT with Cert & /X2",1,2,,,,,,1,"2,7,C",,,X2,"GF11,GF12,GF21,GS11,GS12,GS16,GS21,GU11,GU12,GU21,NF2,NF21,NS21,NS25,SS26,SU21,SU22",
F9913AJ,"Case 3, EC-M20 (E-conn 4 or 9 or D)",1,2,"EJA510E,EJA530E",,,,,3,"4,9,D",,,,,X2
F9913AL,"Case 3, EC-1/2 NPT (E-Conn 2 or C)",1,2,"EJA510E,EJA530E",,,,,3,"2,7,C",,,,,X2
F9913BJ,CASE,1,2,"EJA510E,EJA530E",,,,,3,"4,9,D",,,X2,,
F9913BL,CASE,1,2,"EJA510E,EJA530E",,,,,3,"2,7,C",,,X2,,
F9910LS,Terminal Block,1,,,,,,,"1,3",,,,,,
