Plant,Plant Description,Storage Location,Storage Location Description,Material Number,MS Code,Material Description,Sales Document,Sales Document Item,Linkage Number,Stock Quantity,Unit,Serial Number,Stock Amount
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000011,CPA110Y-NMSNN-NNNNN/K3,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN/K3,,0,,1,ST,90ZB24900,"14,830.52"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000011,CPA110Y-NMSNN-NNNNN/K3,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN/K3,,0,,1,ST,90ZB24901,"14,830.52"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000011,CPA110Y-NMSNN-NNNNN/K3,BOTTOM WORKS: CPA110Y-NMSNN-NNNNN/K3,,0,,1,ST,90ZB24902,"14,830.52"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000007,CPA110Y-NFS5G-9NNNN,BOTTOM WORKS: CPA110Y-NFS5G-9NNNN,,0,,1,ST,90ZB24905,"22,645.32"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000007,CPA110Y-NFS5G-9NNNN,BOTTOM WORKS: CPA110Y-NFS5G-9NNNN,,0,,1,ST,90ZB24906,"22,645.32"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000007,CPA110Y-NFS5G-9NNNN,BOTTOM WORKS: CPA110Y-NFS5G-9NNNN,,0,,1,ST,90ZB24907,"22,645.32"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24908,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24909,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24910,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24911,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24912,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24913,"11,508.82"
2Q00,YIL,9002,Receive MFG KD,CPA110Y_0000000255,CPA110Y-NHSNN-NNNNN,BOTTOM WORKS: CPA110Y-NHSNN-NNNNN,,0,,1,ST,90ZB24914,"11,508.82"
